Zyklus, Gesunde_Personen, Erkrankte_Personen, Genesene_Personen
1,0,0,0
2,92,8,0
3,92,8,0
4,91,9,0
5,91,9,0
6,89,11,0
7,87,13,0
8,83,17,0
9,72,28,0
10,68,33,0
11,59,42,0
12,52,49,0
13,45,56,0
14,42,59,0
15,37,64,0
16,32,69,0
17,28,73,0
18,23,78,0
19,21,80,0
20,19,82,0
21,14,87,0
22,14,87,0
23,11,90,0
24,10,91,0
25,8,93,0
26,6,95,0
27,5,96,0
28,5,96,0
29,3,98,0
30,3,98,0
